調査年,地域,#A011000_総人口【万人】
2021年度,北海道,518
2021年度,青森県,122
2021年度,岩手県,120
2021年度,宮城県,229
2021年度,秋田県,95
2021年度,山形県,106
2021年度,福島県,181
2021年度,茨城県,285
2021年度,栃木県,192
2021年度,群馬県,193
2021年度,埼玉県,734
2021年度,千葉県,628
2021年度,東京都,1401
2021年度,神奈川県,924
2021年度,新潟県,218
2021年度,富山県,103
2021年度,石川県,113
2021年度,福井県,76
2021年度,山梨県,81
2021年度,長野県,203
2021年度,岐阜県,196
2021年度,静岡県,361
2021年度,愛知県,752
2021年度,三重県,176
2021年度,滋賀県,141
2021年度,京都府,256
2021年度,大阪府,881
2021年度,兵庫県,543
2021年度,奈良県,132
2021年度,和歌山県,91
2021年度,鳥取県,55
2021年度,島根県,67
2021年度,岡山県,188
2021年度,広島県,278
2021年度,山口県,133
2021年度,徳島県,71
2021年度,香川県,94
2021年度,愛媛県,132
2021年度,高知県,68
2021年度,福岡県,512
2021年度,佐賀県,81
2021年度,長崎県,130
2021年度,熊本県,173
2021年度,大分県,111
2021年度,宮崎県,106
2021年度,鹿児島県,158
2021年度,沖縄県,147
